['traffic_in', 'posess', 'sell_drugs_to', 'provide_shelter_for', 'NA']
*** Train ***
{'loss': 5.0682, 'learning_rate': 3.230337078651686e-05, 'epoch': 7.08}
{'loss': 5.0497, 'learning_rate': 3.202247191011236e-05, 'epoch': 7.19}
{'loss': 4.7074, 'learning_rate': 3.1741573033707866e-05, 'epoch': 7.3}
{'loss': 5.0785, 'learning_rate': 3.1460674157303374e-05, 'epoch': 7.42}
{'loss': 4.9981, 'learning_rate': 3.1179775280898874e-05, 'epoch': 7.53}
{'loss': 5.0642, 'learning_rate': 3.089887640449438e-05, 'epoch': 7.64}
{'loss': 4.9419, 'learning_rate': 3.061797752808989e-05, 'epoch': 7.75}
{'loss': 4.9651, 'learning_rate': 3.0337078651685396e-05, 'epoch': 7.87}
{'loss': 5.0205, 'learning_rate': 3.0056179775280903e-05, 'epoch': 7.98}
{'eval_f1': 0.5245368865777787, 'eval_precision': 0.6942930886147556, 'eval_recall': 0.42148328690804127, 'epoch': 8.0}
{'loss': 4.8271, 'learning_rate': 2.9775280898876406e-05, 'epoch': 8.09}
{'loss': 4.5711, 'learning_rate': 2.949438202247191e-05, 'epoch': 8.2}
{'loss': 4.6282, 'learning_rate': 2.9213483146067417e-05, 'epoch': 8.31}
{'loss': 4.6947, 'learning_rate': 2.893258426966292e-05, 'epoch': 8.43}
{'loss': 4.6988, 'learning_rate': 2.8651685393258425e-05, 'epoch': 8.54}
{'loss': 4.6813, 'learning_rate': 2.8370786516853936e-05, 'epoch': 8.65}
{'loss': 4.7974, 'learning_rate': 2.8089887640449443e-05, 'epoch': 8.76}
{'loss': 4.9248, 'learning_rate': 2.7808988764044946e-05, 'epoch': 8.88}
{'loss': 4.9898, 'learning_rate': 2.752808988764045e-05, 'epoch': 8.99}
{'eval_f1': 0.5303074386576927, 'eval_precision': 0.7103143673680553, 'eval_recall': 0.4230888269885157, 'epoch': 9.0}
{'loss': 4.6629, 'learning_rate': 2.7247191011235957e-05, 'epoch': 9.1}
{'loss': 4.5077, 'learning_rate': 2.696629213483146e-05, 'epoch': 9.21}
{'loss': 4.637, 'learning_rate': 2.6685393258426965e-05, 'epoch': 9.33}
{'loss': 4.6769, 'learning_rate': 2.6404494382022472e-05, 'epoch': 9.44}
{'loss': 4.5581, 'learning_rate': 2.6123595505617983e-05, 'epoch': 9.55}
{'loss': 4.4312, 'learning_rate': 2.5842696629213486e-05, 'epoch': 9.66}
{'loss': 4.6111, 'learning_rate': 2.556179775280899e-05, 'epoch': 9.78}
{'loss': 4.597, 'learning_rate': 2.5280898876404497e-05, 'epoch': 9.89}
{'loss': 4.6425, 'learning_rate': 2.5e-05, 'epoch': 10.0}
{'eval_f1': 0.5347331583551588, 'eval_precision': 0.7190588235293272, 'eval_recall': 0.42562674094704556, 'epoch': 10.0}
{'loss': 4.2992, 'learning_rate': 2.4719101123595505e-05, 'epoch': 10.11}
{'loss': 4.4107, 'learning_rate': 2.4438202247191012e-05, 'epoch': 10.22}
{'loss': 4.3844, 'learning_rate': 2.415730337078652e-05, 'epoch': 10.34}
{'loss': 4.375, 'learning_rate': 2.3876404494382023e-05, 'epoch': 10.45}
{'loss': 4.5041, 'learning_rate': 2.359550561797753e-05, 'epoch': 10.56}
{'loss': 4.2897, 'learning_rate': 2.3314606741573034e-05, 'epoch': 10.67}
{'loss': 4.3943, 'learning_rate': 2.303370786516854e-05, 'epoch': 10.79}
{'loss': 4.5819, 'learning_rate': 2.2752808988764045e-05, 'epoch': 10.9}
{'eval_f1': 0.5380350233355509, 'eval_precision': 0.7272727272726488, 'eval_recall': 0.4269435300075698, 'epoch': 11.0}
{'loss': 4.1888, 'learning_rate': 2.2471910112359552e-05, 'epoch': 11.01}
{'loss': 4.0709, 'learning_rate': 2.2191011235955056e-05, 'epoch': 11.12}
{'loss': 4.2531, 'learning_rate': 2.1910112359550563e-05, 'epoch': 11.24}
{'loss': 4.13, 'learning_rate': 2.1629213483146067e-05, 'epoch': 11.35}
{'loss': 4.2664, 'learning_rate': 2.1348314606741574e-05, 'epoch': 11.46}
{'loss': 4.2282, 'learning_rate': 2.1067415730337078e-05, 'epoch': 11.57}
{'loss': 4.2291, 'learning_rate': 2.0786516853932585e-05, 'epoch': 11.69}
{'loss': 4.2029, 'learning_rate': 2.0505617977528092e-05, 'epoch': 11.8}
